Wyoming Behavioral Institute,307-439-2139,https://wbihelp.com/treatment-services/telehealth/,Wyoming Behavioral Institute,"2521 East 15th St, Casper, WY 82609","Virtual mental health intensive outpatient program for teens ages 13 to 17. Individual and family teletherapy. Medicaid, Medicare, and most commercial insurances accepted.",,,,,,,,,,,,,,,,,,
Youth Crisis Center,307-577-5718,https://casperycc.org/clinical-services/,,"1656 East 12th Street, Casper, WY 82601","Provides individual, family, and group therapy services. Also conducts ASIs for adolescents. ",,,,,,,,,,,,,,,,,,
Individual Providers (Licensed Professional Counselors (LPC) & Licensed Clinical Social Workers (LCSW) serving youth),,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
"Amy Berry, LCSW",307-259-7015,https://www.facebook.com/p/amy-berry-msw-lcsw-100063536755260/,,"1541 Diamond Drive, Casper, WY 82601","Child, adolescent, and adult therapy for individuals dealing with a variety of mental health related concerns. Accepts Medicaid and Medicare",,,,,,,,,,,,,,,,,,
Barnosky Counseling Services  ,307-436-6345,https://www.bcscasper.com/,,"800 Werner Court Suite 300, Casper, WY 82601","Rob Barnosky, LPC provides child, adolescent, and young adult therapy. Trauma focused CBT. Accepts BCBS, Mountain Health Co-op, and Medicaid.",,,,,,,,,,,,,,,,,,
"Cindy Parrish, LPC  ",307-237-7747,,,"422 South Beech Street, Casper, WY 82601","Provides therapy services to children, adolescents, and adults. Specializing in sexual abuse, trauma, and nontraditional lifestyles. Medicaid accepted",,,,,,,,,,,,,,,,,,
Comfy Couch Counseling ,303-842-7055,,,,"Devon Houser, LPC provides trauma therapy for children, adolescents, and families. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Complete Care Counseling  ,307-234-9979,,,"2510 East 15th Street, Casper, WY 82609","Codie Wallace, LPC provides therapy for children, adolescents, adults. Also provides counseling for family conflict and parenting, and sexual abuse/trauma counseling. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Embracing Change Counseling,307-277-1874,https://www.embracingchangecasper.com/home,,"2510 East 15th Street, Casper, WY 82609","Stephanie Fegler, LCSW provides therapy for pre-teens, teens, and adults to address a variety of mental health concerns and substance use. Medicaid accepted and has a cash rate.",,,,,,,,,,,,,,,,,,
Emotional Wellness Counseling ,307-224-7135,,,"152 North Durbin Street Suite 304, Casper, WY 82601","Tammy Michael, LCSW provides therapy for children, adolescent, and adults. Specializes in EMDR and trauma focused CBT. Medicaid is accepted.",,,,,,,,,,,,,,,,,,
Healing Tree Counseling,307-215-1204,https://www.healingtreecounselingllc.com/,Leaps & Bounds Preschool,"145 West 9th Street, Casper, WY 82601","Provides child, teen and adult individual therapy. Offers CBT and EMDR treatment. Medicaid accepted",,,,,,,,,,,,,,,,,,
Integrity Mental Health,307-262-3309,,Farnum Plaza,"2241 Farnum Street Suite 102, Casper, WY 82609",Provides therapy for children 8 and up. ,,,,,,,,,,,,,,,,,,
Into Eden: Christian Counseling and Wellness,307-200-9812,https://intoeden.cc/,,"1632 E. 2nd Street, Casper WY 82601","Provides Godly counsel for adolescents ages 12 through adulthood. Supports healing from lifelong trauma, anxiety, or depression.",,,,,,,,,,,,,,,,,,
"Jana Sisco, LPC",417-234-7755,,,"800 Werner Court Suite 300. Casper, WY 82601","Provides therapy for children, adolescents, adults, and families, EMDR. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Individual Providers Cont. (Licensed Professional Counselors (LPC) & Licensed Clinical Social Workers (LCSW) serving youth),,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
"Jessica Lambrix, LPC",307-448-0204,,,,"Provides child, adolescent, adult therapy, and EMDR. Medicaid accepted.",,,,,,,,,,,,,,,,,,
KV Davis Counseling,307-337-4673,,,"800 Werner Court Suite 305, Casper, WY 82601","Provides play therapy, trauma therapy, and child and adolescent counseling. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Living Well,307-797-4683,http://www.caspercounseling.com/,,"1301 S Wisconsin, Casper, WY 82609","Corey Wentz, LPC, LAT, provides adolescent, adult, family, and addiction counseling. Also conducts ASIs",,,,,,,,,,,,,,,,,,
"Melanie Connell, MA, LPC",307-797-4827,https://melanieconnell.com/,,"800 Werner Court Suite 300, Casper, WY 82601","Provides therapy services to children, adolescent, and families. Offers EMDR. Christian counseling. Medicaid accepted.",,,,,,,,,,,,,,,,,,
"Nancy Sherwood, LPC",307-247-1424,,,,"Provides therapy services for preteens, teens, couples, and adults.",,,,,,,,,,,,,,,,,,
"Nicole Rosenberger, LCSW",307-439-8324,,,,"Provides therapy services for children, adolescents, individual, and families. Medicaid accepted.",,,,,,,,,,,,,,,,,,
"Rosemary Bartle, LPC",307-267-0535,,,,Provides child and adolescent therapy. Medicaid accepted,,,,,,,,,,,,,,,,,,
"Stevie Porter, LPC",307-439-5504,,,"540 E Yellowstone Highway Suite 102, Casper, WY 82601","Provides therapy services for children, adolescents, and adults. Specializing in EMDR and play therapy. Medicaid accepted.",,,,,,,,,,,,,,,,,,
The Healing Place,307-265-3977,https://hpcc.church/the-healing-place/,Highland Park Community Church,"5725 Highland Dr, Casper, WY 82609","Provides child, teen and adult individuals therapy, step-family support, grief share, and divorce care.. Christian counseling. ",,,,,,,,,,,,,,,,,,
"Tonya Yelton, LPC",307-265-6420,,,,"Provides therapy services for children, adolescents, adults, families, and couples. Specializing in play therapy and expressive art therapy. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Whispering Springs Counseling ,307-333-4777,,,"130 N. Ash St. Suite. 201 Casper, WY 82601","Provides counseling services for children, adolescents, and adults. Specializing in behavioral and play therapy.",,,,,,,,,,,,,,,,,,
Wyoming Behavioral Health,307-277-6473,,,,"Lori Hicks, LPC provides therapy services for children, adolescents, adults, couples, and families. Also provides EMDR. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Psychiatric Care & Medication Management,,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
Wyoming Behavioral Institute,24/7 information/assessment: 800-457-9312 (ask for intake) Outpatient: (307) 439-2139,https://wbihelp.com/treatment-services/telehealth/,Wyoming Behavioral Institute,"2521 East 15th St, Casper, WY 82609","Child, adolescent, and adult inpatient psychiatric care. Psychiatric residential treatment facility for girls ages 10 to 17. Outpatient psychiatry for teens and adults. Virtual mental health intensive outpatient program for teens. Outpatient in person and telepsychiatry for teens and adults.",,,,,,,,,,,,,,,,,,
A Beautiful Mind,307-337-1173,https://www.tebra.com/care/provider/michelle-hipsak-dnp-aprn-pmhnp-1134694383,Durbin Center,"145 S Durbin Street Suite 207, Casper, WY 82601","Dr. Michelle Hipsak, DNP, APRN, PMHNP provides child, adolescent, and adult psychiatry in person or via telehealth. Medicaid accepted.",,,,,,,,,,,,,,,,,,
Comprehensive Health Solutions,307-262-8600,https://www.facebook.com/p/Comprehensive-Health-Solutions-LLC-61552160726049/,,"1743 East Yellowstone Highway, Casper, WY 82601","Crystal Bardgett, DNP provides child, adolescent, and adult psychiatry. Accepts BCBS, Cigna, Medicaid & Medicare.",,,,,,,,,,,,,,,,,,
Psychiatric Care & Medication Management Cont.,,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
Kintsugi Psychiatry,307-333-5757,https://www.facebook.com/kintsugipsych/,Durbin Center,"145 S Durbin Street Suite 108, Casper, WY 82601","Teecee Fulfer, APRN provides child, adolescent, adult, and geriatric psychiatry. Medicaid accepted. ",,,,,,,,,,,,,,,,,,
Peaceful Minds Wellness Center ,307-224-2484,https://www.mentalhealthcenters.org/mental-health-centers/peaceful-minds-wellness-center/,,"1300 East A Street Suite 101, Casper, WY 82601","Multiple clinicians provide child, adolescent, adult, and senior psychiatry. Most insurances accepted: BCBS, Medicaid, Medicare.",,,,,,,,,,,,,,,,,,
Radiant Path Psychiatry,,https://www.radiantpathpsychiatry.com/about,,Online Services only,Dr. R. Alexander Padilla offers telehealth services only. Must have three counseling sessions before psychiatry appointment. ,,,,,,,,,,,,,,,,,,
Specialty Counseling ,307-222-3042,https:specialtycounseling.com/,,"3925 Casper Mountain Road, Casper, WY 82601","Individual, family, group, marrage, couples, intimacy, children, adolescent and adult counseling. Specialty areas: trauma, EMDR, mood management, ADHD, LGBTQIA+, dependency/substance use, disorderly eating, grief and loss.",,,,,,,,,,,,,,,,,,
Central Wyoming Counseling Center,307-237-9583,https://cwcc.us/,Central Wyoming Counseling Center,"1430 Wilkins Circle, Casper, WY 82601","Multiple clinicians provide child, adolescent, and adult psychiatry. Most insurances and Medicaid accepted. ",,,,,,,,,,,,,,,,,,
Community Health Centers of Central Wyoming ,307-233-6000,https://www.chccw.org/our-services/behavioral-health/,Community Health Center of Central Wyoming,"5000 Blackmore Road, Casper, WY 82609",Provides adolescent and adult psychiatry. Medicaid and Medicare accepted.,,,,,,,,,,,,,,,,,,
Psychologists,,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
Parkridge Behavioral Health,307-462-4876,https://www.prbhwy.com/,Casper Clinic,"940 East 3rd Street suite 104, Casper, WY 82601","Multiple clinicians provide services (therapy & assessments) to children, adolescent, and adults. ",,,,,,,,,,,,,,,,,,
Windy Ridge Psychological Services,307-234-0500,https://cherylgodley.com/,,"1607 CY Ave Suite 302, Casper, WY 82604","Dr Cheryl Godley, PhD provides adolescent, adult, and family services. ",,,,,,,,,,,,,,,,,,
Substance Use,,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
12-24 Club,307-237-8035,https://www.1224club.org/programs/,,"500 S Wolcott St Suite 200, Casper, WY 82601","Support groups for youth, adults, and families. Co-dependents/ alcoholics/narcotics/overeaters/ crystal meth/eating disorders anonymous. Al-Anon (for relatives and friends of alcoholics), grief support group (for suicide survivors),",,,,,,,,,,,,,,,,,,
Wyo Quits,,https://www.quitwyo.org/,,,Free Tobacco cessation program,,,,,,,,,,,,,,,,,,
Mercer Family Resource Center,307-265-7366,https://mercercasper.com/youth-classes,Mercer Family Resource Center,"535 W. Yellowstone Highway, Casper, WY 82601","Tobacco & vaping education, insight into substance prevention, anger management",,,,,,,,,,,,,,,,,,
Suicide,,,,,,,,,,,,,,,,,,,,,,,
Resource Name,Phone,Website,Location Name,Location Address,Description,,,,,,,,,,,,,,,,,,
988 Hotline,988,https://health.wyo.gov/publichealth/prevention/wivpp/suicide-prevention/988-suicide-crisis-lifeline/,,,Suicide and crisis lifeline. Available 24/7. Free & confidential,,,,,,,,,,,,,,,,,,
Wyoming Behavioral Institute  ,800-457-9312,wbihelp.com,Wyoming Behavioral Institute,"2521 East 15th St, Casper, WY 82609","Child, adolescent, and adult crisis stabilization. 24/7 no cost, confidential level of care assessments.",,,,,,,,,,,,,,,,,,
Suicide Prevention Task Force,307-233-4262 to join,https://natronacountysuicideprevention.org/,NCSPTF@mercercasper.com,,Works in the community to lower the rate of suicide,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
