"guid","full_name","parent_organization","category","description","phone_1","website","full_address","min_age","max_age","city"
"11","National Alliance on Mental Illness (NAMI) - Wyoming","online resource & call center","Mental Health: Counseling","National call center and resources for mental illness.","1-800-950-6264","https://namiwyoming.com/","","11","20","Casper"
"12","Parkridge Behavioral Health","Casper Clinic","Mental Health: Counseling","Multiple clinicians provide child, adolescent, adult, individual, family, couples, and group counseling. Specializes in trauma, anxiety, depression, chronic pain, parenting, addictions, bi-polar, LGBTQ+, women's health, eating disorders. Trained clinicians can provide EMDR, DBT, CBT, etc. Medicaid accepted.","307-462-4876","https://www.prbhwy.com/","940 East 3rd Street Suite 104, Casper, WY 82601","11","20","Casper"
"13","Remember Who You Are Counseling","","Mental Health: Counseling","Multiple clinicians provide therapy services for children, adolescents, couples, LGTBQ+. Providers specialize in grief, trauma, play therapy, and EMDR. Medicaid accepted","307-333-4028","https://rememberwhoyouarecounseling.com/","141 South Center Street, Casper, WY 82601","11","20","Casper"
"14","Solutions Counseling Services","","Mental Health: Counseling","Multiple clinicians provide therapy services for children, adolescents, and adults. Specializing in family conflict, parenting, sexual abuse, and trauma counseling. Medicaid accepted.","307-234-9979","https://www.solutionscounselingserviceswy.com/","1010 East 1st Street Suite A, Casper, WY 82601","11","20","Casper"
"15","Winds of Change Therapy","","Mental Health: Counseling","Multiple clinicians provide therapy services to children, adolescents, and adults. Medicaid accepted.","307-259-5139","","800 Werner Court Suite 235, Casper, WY 82601","11","20","Casper"
"16","Wyoming Behavioral Institute","Wyoming Behavioral Institute","Mental Health: Counseling","Virtual mental health intensive outpatient program for teens ages 13 to 17. Individual and family teletherapy. Medicaid, Medicare, and most commercial insurances accepted.","307-439-2139","https://wbihelp.com/treatment-services/telehealth/","2521 East 15th St, Casper, WY 82609","11","20","Casper"
"17","Youth Crisis Center","","Mental Health: Counseling","Provides individual, family, and group therapy services. Also conducts ASIs for adolescents.","307-577-5718","https://casperycc.org/clinical-services/","1656 East 12th Street, Casper, WY 82601","11","20","Casper"
"18","Amy Berry, LCSW","","Mental Health: Individual Counselors","Child, adolescent, and adult therapy for individuals dealing with a variety of mental health related concerns. Accepts Medicaid and Medicare","307-259-7015","https://www.facebook.com/p/amy-berry-msw-lcsw-100063536755260/","1541 Diamond Drive, Casper, WY 82601","11","20","Casper"
"19","Barnosky Counseling Services","","Mental Health: Individual Counselors","Rob Barnosky, LPC provides child, adolescent, and young adult therapy. Trauma focused CBT. Accepts BCBS, Mountain Health Co-op, and Medicaid.","307-436-6345","https://www.bcscasper.com/","800 Werner Court Suite 300, Casper, WY 82601","11","20","Casper"
"20","Cindy Parrish, LPC","","Mental Health: Individual Counselors","Provides therapy services to children, adolescents, and adults. Specializing in sexual abuse, trauma, and nontraditional lifestyles. Medicaid accepted","307-237-7747","","422 South Beech Street, Casper, WY 82601","11","20","Casper"
"21","Comfy Couch Counseling","","Mental Health: Individual Counselors","Devon Houser, LPC provides trauma therapy for children, adolescents, and families. Medicaid accepted.","303-842-7055","","","11","20","Casper"
"22","Complete Care Counseling","","Mental Health: Individual Counselors","Codie Wallace, LPC provides therapy for children, adolescents, adults. Also provides counseling for family conflict and parenting, and sexual abuse/trauma counseling. Medicaid accepted.","307-234-9979","","2510 East 15th Street, Casper, WY 82609","11","20","Casper"
"23","Embracing Change Counseling","","Mental Health: Individual Counselors","Stephanie Fegler, LCSW provides therapy for pre-teens, teens, and adults to address a variety of mental health concerns and substance use. Medicaid accepted and has a cash rate.","307-277-1874","https://www.embracingchangecasper.com/home","2510 East 15th Street, Casper, WY 82609","11","20","Casper"
"24","Emotional Wellness Counseling","","Mental Health: Individual Counselors","Tammy Michael, LCSW provides therapy for children, adolescent, and adults. Specializes in EMDR and trauma focused CBT. Medicaid is accepted.","307-224-7135","","152 North Durbin Street Suite 304, Casper, WY 82601","11","20","Casper"
"25","Healing Tree Counseling","Leaps & Bounds Preschool","Mental Health: Individual Counselors","Provides child, teen and adult individual therapy. Offers CBT and EMDR treatment. Medicaid accepted","307-215-1204","https://www.healingtreecounselingllc.com/","145 West 9th Street, Casper, WY 82601","11","20","Casper"
"26","Integrity Mental Health","Farnum Plaza","Mental Health: Individual Counselors","Provides therapy for children 8 and up.","307-262-3309","","2241 Farnum Street Suite 102, Casper, WY 82609","11","20","Casper"
"27","Into Eden: Christian Counseling and Wellness","","Mental Health: Individual Counselors","Provides Godly counsel for adolescents ages 12 through adulthood. Supports healing from lifelong trauma, anxiety, or depression.","307-200-9812","https://intoeden.cc/","1632 E. 2nd Street, Casper WY 82601","11","20","Casper"
"28","Jana Sisco, LPC","","Mental Health: Individual Counselors","Provides therapy for children, adolescents, adults, and families, EMDR. Medicaid accepted.","417-234-7755","","800 Werner Court Suite 300. Casper, WY 82601","11","20","Casper"
"29","Jessica Lambrix, LPC","","Mental Health: Individual Counselors","Provides child, adolescent, adult therapy, and EMDR. Medicaid accepted.","307-448-0204","","","11","20","Casper"
"30","KV Davis Counseling","","Mental Health: Individual Counselors","Provides play therapy, trauma therapy, and child and adolescent counseling. Medicaid accepted.","307-337-4673","","800 Werner Court Suite 305, Casper, WY 82601","11","20","Casper"
"31","Living Well","","Mental Health: Individual Counselors","Corey Wentz, LPC, LAT, provides adolescent, adult, family, and addiction counseling. Also conducts ASIs","307-797-4683","http://www.caspercounseling.com/","1301 S Wisconsin, Casper, WY 82609","11","20","Casper"
"32","Melanie Connell, MA, LPC","","Mental Health: Individual Counselors","Provides therapy services to children, adolescent, and families. Offers EMDR. Christian counseling. Medicaid accepted.","307-797-4827","https://melanieconnell.com/","800 Werner Court Suite 300, Casper, WY 82601","11","20","Casper"
"33","Nancy Sherwood, LPC","","Mental Health: Individual Counselors","Provides therapy services for preteens, teens, couples, and adults.","307-247-1424","","","11","20","Casper"
"34","Nicole Rosenberger, LCSW","","Mental Health: Individual Counselors","Provides therapy services for children, adolescents, individual, and families. Medicaid accepted.","307-439-8324","","","11","20","Casper"
"35","Rosemary Bartle, LPC","","Mental Health: Individual Counselors","Provides child and adolescent therapy. Medicaid accepted","307-267-0535","","","11","20","Casper"
"36","Stevie Porter, LPC","","Mental Health: Individual Counselors","Provides therapy services for children, adolescents, and adults. Specializing in EMDR and play therapy. Medicaid accepted.","307-439-5504","","540 E Yellowstone Highway Suite 102, Casper, WY 82601","11","20","Casper"
"37","The Healing Place","Highland Park Community Church","Mental Health: Individual Counselors","Provides child, teen and adult individuals therapy, step-family support, grief share, and divorce care.. Christian counseling.","307-265-3977","https://hpcc.church/the-healing-place/","5725 Highland Dr, Casper, WY 82609","11","20","Casper"
"38","Tonya Yelton, LPC","","Mental Health: Individual Counselors","Provides therapy services for children, adolescents, adults, families, and couples. Specializing in play therapy and expressive art therapy. Medicaid accepted.","307-265-6420","","","11","20","Casper"
"39","Whispering Springs Counseling","","Mental Health: Individual Counselors","Provides counseling services for children, adolescents, and adults. Specializing in behavioral and play therapy.","307-333-4777","","130 N. Ash St. Suite. 201 Casper, WY 82601","11","20","Casper"
"40","Wyoming Behavioral Health","","Mental Health: Individual Counselors","Lori Hicks, LPC provides therapy services for children, adolescents, adults, couples, and families. Also provides EMDR. Medicaid accepted.","307-277-6473","","","11","20","Casper"
"41","Wyoming Behavioral Institute","Wyoming Behavioral Institute","Mental Health: Psychiatric Care","Child, adolescent, and adult inpatient psychiatric care. Psychiatric residential treatment facility for girls ages 10 to 17. Outpatient psychiatry for teens and adults. Virtual mental health intensive outpatient program for teens. Outpatient in person and telepsychiatry for teens and adults.","24/7 information/assessment: 800-457-9312 (ask for intake) Outpatient: (307) 439-2139","https://wbihelp.com/treatment-services/telehealth/","2521 East 15th St, Casper, WY 82609","11","20","Casper"
"42","A Beautiful Mind","Durbin Center","Mental Health: Psychiatric Care","Dr. Michelle Hipsak, DNP, APRN, PMHNP provides child, adolescent, and adult psychiatry in person or via telehealth. Medicaid accepted.","307-337-1173","https://www.tebra.com/care/provider/michelle-hipsak-dnp-aprn-pmhnp-1134694383","145 S Durbin Street Suite 207, Casper, WY 82601","11","20","Casper"
"43","Comprehensive Health Solutions","","Mental Health: Psychiatric Care","Crystal Bardgett, DNP provides child, adolescent, and adult psychiatry. Accepts BCBS, Cigna, Medicaid & Medicare.","307-262-8600","https://www.facebook.com/p/Comprehensive-Health-Solutions-LLC-61552160726049/","1743 East Yellowstone Highway, Casper, WY 82601","11","20","Casper"
"44","Kintsugi Psychiatry","Durbin Center","Mental Health: Psychiatric Care","Teecee Fulfer, APRN provides child, adolescent, adult, and geriatric psychiatry. Medicaid accepted.","307-333-5757","https://www.facebook.com/kintsugipsych/","145 S Durbin Street Suite 108, Casper, WY 82601","11","20","Casper"
"45","Peaceful Minds Wellness Center","","Mental Health: Psychiatric Care","Multiple clinicians provide child, adolescent, adult, and senior psychiatry. Most insurances accepted: BCBS, Medicaid, Medicare.","307-224-2484","https://www.mentalhealthcenters.org/mental-health-centers/peaceful-minds-wellness-center/","1300 East A Street Suite 101, Casper, WY 82601","11","20","Casper"
"46","Radiant Path Psychiatry","","Mental Health: Psychiatric Care","Dr. R. Alexander Padilla offers telehealth services only. Must have three counseling sessions before psychiatry appointment.","","https://www.radiantpathpsychiatry.com/about","Online Services only","11","20","Casper"
"47","Specialty Counseling","","Mental Health: Psychiatric Care","Individual, family, group, marrage, couples, intimacy, children, adolescent and adult counseling. Specialty areas: trauma, EMDR, mood management, ADHD, LGBTQIA+, dependency/substance use, disorderly eating, grief and loss.","307-222-3042","https:specialtycounseling.com/","3925 Casper Mountain Road, Casper, WY 82601","11","20","Casper"
"48","Central Wyoming Counseling Center","Central Wyoming Counseling Center","Mental Health: Psychiatric Care","Multiple clinicians provide child, adolescent, and adult psychiatry. Most insurances and Medicaid accepted.","307-237-9583","https://cwcc.us/","1430 Wilkins Circle, Casper, WY 82601","11","20","Casper"
"49","Community Health Centers of Central Wyoming","Community Health Center of Central Wyoming","Mental Health: Psychiatric Care","Provides adolescent and adult psychiatry. Medicaid and Medicare accepted.","307-233-6000","https://www.chccw.org/our-services/behavioral-health/","5000 Blackmore Road, Casper, WY 82609","11","20","Casper"
"50","Parkridge Behavioral Health","Casper Clinic","Mental Health: Psychologists","Multiple clinicians provide services (therapy & assessments) to children, adolescent, and adults.","307-462-4876","https://www.prbhwy.com/","940 East 3rd Street suite 104, Casper, WY 82601","11","20","Casper"
"51","Windy Ridge Psychological Services","","Mental Health: Psychologists","Dr Cheryl Godley, PhD provides adolescent, adult, and family services.","307-234-0500","https://cherylgodley.com/","1607 CY Ave Suite 302, Casper, WY 82604","11","20","Casper"
"52","12-24 Club","","Mental Health: Substance Use","Support groups for youth, adults, and families. Co-dependents/ alcoholics/narcotics/overeaters/ crystal meth/eating disorders anonymous. Al-Anon (for relatives and friends of alcoholics), grief support group (for suicide survivors),","307-237-8035","https://www.1224club.org/programs/","500 S Wolcott St Suite 200, Casper, WY 82601","11","20","Casper"
"53","Wyo Quits","","Mental Health: Substance Use","Free Tobacco cessation program","","https://www.quitwyo.org/","","11","20","Casper"
"54","Mercer Family Resource Center","Mercer Family Resource Center","Mental Health: Substance Use","Tobacco & vaping education, insight into substance prevention, anger management","307-265-7366","https://mercercasper.com/youth-classes","535 W. Yellowstone Highway, Casper, WY 82601","11","20","Casper"
"55","988 Hotline","","Mental Health: Crisis & Suicide Prevention","Suicide and crisis lifeline. Available 24/7. Free & confidential","988","https://health.wyo.gov/publichealth/prevention/wivpp/suicide-prevention/988-suicide-crisis-lifeline/","","11","20","Casper"
"56","Wyoming Behavioral Institute","Wyoming Behavioral Institute","Mental Health: Crisis & Suicide Prevention","Child, adolescent, and adult crisis stabilization. 24/7 no cost, confidential level of care assessments.","800-457-9312","https://wbihelp.com","2521 East 15th St, Casper, WY 82609","11","20","Casper"
"57","Suicide Prevention Task Force","NCSPTF@mercercasper.com","Mental Health: Crisis & Suicide Prevention","Works in the community to lower the rate of suicide","307-233-4262 to join","https://natronacountysuicideprevention.org/","","11","20","Casper"
